ID,ecotype,species,lat,long,depth,sal_bottom,temp_bottom,sal_surface,temp_surface,Geothermal,current_velocity
S4310,island,vic,-60.11104,-34.82669,439,34.66874,0.03286,34.0048,-0.5184,NA,0.04026
S4472K,island,vic,-59.86338,-32.47014,600,34.65039,-0.04652,33.98474,-0.58251,NA,0.05255
S4472L,island,vic,-59.86338,-32.47014,600,34.65039,-0.04652,33.98474,-0.58251,NA,0.05255
S4472M,island,vic,-59.86338,-32.47014,600,34.65039,-0.04652,33.98474,-0.58251,NA,0.05255
S4472N,island,vic,-59.86338,-32.47014,600,34.65039,-0.04652,33.98474,-0.58251,NA,0.05255
S4472O,island,vic,-59.86338,-32.47014,600,34.65039,-0.04652,33.98474,-0.58251,NA,0.05255
S5741-B,island,vic,-62.33746,-60.74441,183,34.6774,0.51231,33.90523,-0.40152,76.7056,0.01667
S5741-C,island,vic,-62.33746,-60.74441,183,34.6774,0.51231,33.90523,-0.40152,76.7056,0.01667
S5741-F,island,vic,-62.33746,-60.74441,183,34.6774,0.51231,33.90523,-0.40152,76.7056,0.01667
S5742,island,vic,-62.33746,-60.74441,183,34.6774,0.51231,33.90523,-0.40152,76.7056,0.01667
S5743,island,vic,-62.33746,-60.74441,183,34.6774,0.51231,33.90523,-0.40152,76.7056,0.01667
S6316A,island,vic,-63.34327,-59.91016,213,34.58151,0.26411,34.06833,-0.29397,69.10587,0.00482
S6316B,island,vic,-63.34327,-59.91016,213,34.58151,0.26411,34.06833,-0.29397,69.10587,0.00482
S6338A,island,vic,-63.28318,-59.90272,290,34.58151,0.26411,34.04618,-0.33285,69.02557,0.00482
S6338B,island,vic,-63.28318,-59.90272,290,34.58151,0.26411,34.04618,-0.33285,69.02557,0.00482
S6741,island,vic,-61.33877,-55.62494,143,34.58975,0.22916,34.10316,-0.38591,73.58537,0.01886
S6743,island,vic,-61.33877,-55.62494,143,34.58975,0.22916,34.10316,-0.38591,73.58537,0.01886
S6760-A,island,vic,-62.753,-57.322,292,34.58442,0.15728,34.22664,-0.84022,67.15442,0.01441
S6760-B,island,vic,-62.753,-57.322,292,34.58442,0.15728,34.22664,-0.84022,67.15442,0.01441
S6775A,island,vic,-61.30365,-55.70822,170,34.62221,0.22916,34.10316,-0.38591,74.41858,0.01504
S6905A,island,vic,-62.86951,-57.21682,247,34.58442,0.15728,34.21709,-0.84022,66.89535,0.0473
S6905B,island,vic,-62.86951,-57.21682,247,34.58442,0.15728,34.21709,-0.84022,66.89535,0.0473
WAMZ444965,island,vic,-66.7211,162.8895,350,34.69794,0.00426,34.06841,-1.24329,98.22529,0.00696
WAMZ44590,island,vic,-59.4718,-27.264,230,34.66758,-0.09268,33.9359,-0.72557,NA,0.05943
WAMZ44932,island,vic,-59.4718,-27.264,230,34.66758,-0.09268,33.9359,-0.72557,NA,0.05943
WAMZ44948,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44949,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44950,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44951,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44953,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44954,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44955,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44956,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44957,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44958,island,vic,-54.419,-3.4935,300,34.67408,0.1706,33.83557,0.25853,NA,0.05168
WAMZ44962,island,vic,-66.1742,162.2029,350,34.69963,0.00426,34.02889,-1.20326,97.81855,0.01212
WAMZ44963,island,vic,-66.1742,162.2029,350,34.69963,0.00426,34.02889,-1.20326,97.81855,0.01212
WAMZ88554,shelf,vic,-70.858333,-10.593056,250,34.56538,-0.19028,34.17172,-1.45025,47.46992,NA
WAMZ88555,shelf,vic,-64.832778,-60.596667,681.7,34.60627,0.24817,34.09756,-0.66954,56.43359,NA
WAMZ88556,shelf,vic,-66.208,-60.161333,362,34.60348,0.25858,34.06258,-0.80638,55.85748,NA
WAMZ88558,shelf,vic,-70.792778,-10.6775,615,34.60201,-0.19028,34.17773,-1.45025,47.57148,0.02649
WAMZ88559,shelf,vic,-70.792778,-10.6775,615,34.60201,-0.19028,34.17773,-1.45025,47.57148,0.02649
WAMZ88563,shelf,vic,-64.903056,-60.490278,570,34.60141,0.24817,34.09756,-0.77509,55.20692,NA
WAMZ88568,shelf,vic,-64.7035,-60.5295,343,34.59655,0.24817,34.11102,-0.66954,57.0109,NA
WAMZ88570,shelf,vic,-70.792778,-10.6775,615,34.60201,-0.19028,34.17773,-1.45025,47.57148,0.02649
WAMZ88571,shelf,vic,-70.949167,-10.574167,332.5,34.52654,-0.19028,34.16614,-1.45251,47.13681,NA
WAMZ88572,shelf,vic,-65.928167,-60.3345,433,34.59921,0.25858,34.09062,-0.85394,55.08464,NA
WAMZ88573,shelf,vic,-65.928167,-60.3345,433,34.59921,0.25858,34.09062,-0.85394,55.08464,NA
WAMZ88574,shelf,vic,-65.558333,-61.623056,320,34.63011,0.4237,34.0519,-0.87929,53.41293,NA
WAMZ88575,shelf,vic,-65.558333,-61.623056,320,34.63011,0.4237,34.0519,-0.87929,53.41293,NA
WAMZ88576,shelf,vic,-70.792778,-10.6775,615,34.60201,-0.19028,34.17773,-1.45025,47.57148,0.02649
WAMZ88577,shelf,vic,-70.792778,-10.6775,615,34.60201,-0.19028,34.17773,-1.45025,47.57148,0.02649
WAMZ88578,shelf,vic,-65.380833,-61.556667,581,34.63194,0.4237,34.05669,-0.87929,53.9479,NA
